tytuł;klasa;katsiedlecki;nr;tonacja;naco;tekst
Z dawna Polski Tyś Królową;3;Pieśni ku czci NMP;1223;d;0/0/0/0/1/0;"1.
Z dawna Polski Tyś Królową, Maryjo
Ty za nami przemów słowo, Maryjo
Ociemniałym podaj rękę
niewytrwałym skracaj mękę
Twe Królestwo weź pod rękę, Maryjo
2.
Gdyś pod krzyżem Syna stała, Maryjo
Tyleś, Matko, wycierpiała, Maryjo
Przez Twego Syna konanie
uproś sercom zmartwychwstanie
w ojców wierze daj wytrwanie, Maryjo
3.
Z dawna Polski Tyś Królową, Maryjo
Ty za nami przemów słowo, Maryjo
Miej w opiece naród cały
który żyje dla Twej chwały
niech rozwija się wspaniały, Maryjo"
Z narodzenia Pana;6;Pieśni na Boże Narodzenie;1224;C;0/0/0/0/0/0;"1.
Z narodzenia Pana dzień dziś wesoły. * Wyśpiewują chwałę Bogu żywioły
Radość ludzi wszędzie słynie. * Anioł budzi przy dolinie * pasterzy, co paśli pod borem woły.
2.
Wypada wśród nocy ogień z obłoku. * Dumają pasterze w takim widoku.
Każdy pyta: „Co się dzieje? * Czy nie świta? Czy nie dnieje? * Skąd ta łuna bije, tak miła oku?”.
3.
Ale gdy anielskie głosy słyszeli, * zaraz do Betlejem prosto bieżeli.
Tam witali w żłobie Pana, * poklękali na kolana * i oddali dary, co z sobą wzięli."
Z rąk kapłańskich;1;Pieśni mszalne;1226;D;0/1/0/0/0/0;"Z rąk kapłańskich przyjmij Panie
Tę ofiarę chleba, wina
Co się wkrótce dla nas stanie
Krwią i Ciałem Twego Syna

Niech przestępstwa nasze zmywa
I uśmierza gniew Twój, Panie
Niech nas z niebem pojednywa
I uzyska przebłaganie"
Za rękę weź mnie, Panie;1;Pieśni przygodne;1237;C;0/1/0/0/0/0;"1.
Za rękę weź mnie, Panie, i prowadź sam
Aż dusza moja stanie u niebios bram
Bez Ciebie ani kroku nie zrobię, nie
Stań Ty u mego boku i prowadź mnie
2.
Do serca miłosiernie me serce tul
By zniosło wszystkie ciernie, i krzyż i ból
Niech dziecię Twe przybieży do Twoich nóg
Niech w miłość Twą uwierzy, boś Ty mój Bóg"
Zapada zmrok;2;;845;B;0/0/0/0/1/0;"1.
Zapada zmrok, już świat ukołysany,
znów jeden dzień odfrunął nam jak ptak.
Panience swej piosenkę na dobranoc
zaśpiewać chcę w ostatnią chwilę dnia.
2.
I chociaż wnet ostatnie światła zgasną,
opieka Twa rozproszy nocy mrok.
Uśpionym wsiom, ukołysanym miastom,
Panienko, daj szczęśliwą, dobrą noc.
3.
I ludzkim snom błogosław dłonią jasną
i oddal od nich cień codziennych trosk.
I tym, co znów nie będą mogli zasnąć,
Panienko, daj szczęśliwą, dobrą noc.
4.
A komu noc czuwaniem jest niełatwym,
na czas bezsenny siłę daj i moc.
I tym, co dzisiaj zasną raz ostatni,
Panienko, daj szczęśliwą, dobrą noc."
Zawitaj, Królowo Różańca Świętego;2;Pieśni ku czci NMP;1245;E;0/0/0/0/0/0;"1.
Zawitaj, Królowo Różańca świętego
Jedyna nadziejo człowieka grzesznego
*
Zawitaj, bez zmazy lilijo
Matko Różańcowa, Maryjo
2.
Panno nad pannami, Święta nad świętymi
Najświętsza Królowo Pani nieba, ziemi
*
Najśliczniejszy kwiecie, lilijo
Matko Różańcowa, Maryjo"
Zawitaj, Matko Różańca Świętego;2;Pieśni ku czci NMP;1248;C;0/0/0/0/0/0;"1.
Zawitaj, Matko Różańca świętego
Przybytku Boga w Trójcy jedynego
*
Ucieczko nasza, ucieczko nasza
w życia doczesności
O cedrze czystości
2.
Najozdobniejsza Różo ogrodowa
Najprzyjemniejsza Różdżko Aronowa
*
Wonność balsamu, wonność balsamu
balsam przechodząca
Matko kochająca "
Zbliżam się w pokorze;1;Pieśni do Najświętszego Sakramentu;1252;C;0/0/1/0/0/0;"1.
Zbliżam się w pokorze i niskości swej
Wielbię Twój majestat, skryty w Hostii tej
Tobie dziś w ofierze serce daję swe
O utwierdzaj w wierze, Jezu, dzieci Twe
2.
Mylą się, o Boże, w Tobie wzrok i smak
Kto się im poddaje, temu wiary brak
Ja jedynie wierzyć Twej nauce chcę
Że w postaci Chleba utaiłeś się
3.
Bóstwo swe na krzyżu skryłeś wobec nas
Tu ukryte z Bóstwem Człowieczeństwo wraz
Lecz w Oboje wierząc, wiem, że dojdę tam
Gdzieś przygarnął łotra, do Twych niebios bram
4.
Jak niewierny Tomasz Twych nie szukam ran
Lecz wyznaję z wiarą, żeś mój Bóg i Pan
Pomóż wierze mojej, Jezu, łaską swą
Ożyw mą nadzieję, rozpal miłość mą
5.
Ty, co jak Pelikan, Krwią swą karmisz lud
Przywróć mi niewinność, oddal grzechów brud
Oczyść mię Krwią swoją, która wszystkich nas
Jedną kroplą może obmyć z win i zmaz
6.
Pod zasłoną teraz, Jezu, widzę Cię
Niech pragnienie serca kiedyś spełni się
Bym oblicze Twoje tam oglądać mógł
Gdzie wybranym miejsce przygotował Bóg"
Zdrowaś bądź, Maryja;5;Pieśni na Adwent;1253;C;0/0/0/0/0/od 17 grudnia;"1.
Zdrowaś bądź Maryja,
niebieska lilija,
Panu Bogu miła,
Matko litościwa:
Tyś jest nasza ucieczka,
Najświętsza Maryja.
2.
Maryja wielebna,
ukaż drogę pewną
przykazania Twego
Boga Wszechmocnego,
On ci wszystka nadzieja
zbawienia naszego.
3.
Łaskiś pełna Pańskiej,
czystości anielskiej,
Pannaś nad pannami,
Święta nad świętymi.
O Najświętsza Maryja,
módl się dziś za nami.
4.
Pełna wszech światłości,
wielkiej pokorności,
bez grzechuś poczęła,
wielką sławę wzięła,
przez Twoje narodzenie
wziął świat pocieszenie."
Zdrowaś, Maryjo;3;Pieśni ku czci NMP;1255;Es;0/1/0/0/0/0;"1.
Zdrowaś, Maryjo, Boga Rodzico
Błagamy Ciebie, święta Dziewico
Niech łaska Twoja zawsze nam sprzyja
Módl się za nami, Zdrowaś Maryja
2.
Wśród czystych duchów, w obliczu Pana
Tyś przenajświętsza, niepokalana
Jak wpośród kwiatów wonna lilija
Jak wśród gwiazd zorza, Zdrowaś Maryja
3.
Ty, coś karmiła świata Zbawienie
Ty nam jak matka daj pożywienie
Niech brak żywności nas nie zabija
Broń nas od głodu, Zdrowaś Maryja
4.
Ty, coś płakała nad śmiercią Syna
Przez te łzy gorzkie, Matko jedyna
Oddal śmiertelność, co lud zabija
Broń nas od moru, Zdrowaś Maryja 
5.
Ty, coś płomieni innych nie znała
Tylko miłością Bożą pałała
Spraw, niechaj pożar dom nasz omija
Broń nas od ognia, Zdrowaś Maryja
6.
Ty w całym życiu łagodna, cicha
Daj, niech pokojem kraj nasz oddycha
Niech duch niezgody nas nie rozbija
Broń nas od wojny, Zdrowaś Maryja
7.
Królowo nasza wśród Cherubinów
Usłysz pokorny głos ziemi synów
Co się do tronu Twojego wzbija
Ratuj nas, Matko, Zdrowaś Maryja"
Złącz, Panie, miłujących Cię;1;Pieśni przygodne;1262;F;0/1/0/0/1/0;"1.
Złącz, Panie, miłujących Cię
Złącz w jedną drogę wiele dróg
Wszak jedna miłość wiedzie nas
A Bogiem wszystkich jeden Bóg
2.
Ze wszech stron świata dąży lud
By ujrzeć Ojca twarzą w twarz
Na górny Syjon, w Jego dom
Wszak mieszkań wiele dla nas ma
3.
Bogu Zwycięzcy wieczny hołd
Niech Panu wieków chwała brzmi
Bo w naszych sercach Święty Duch
Wieczyste Sanctus śpiewa Ci"
Zróbcie Mu miejsce;1;Pieśni do Najświętszego Sakramentu;1276;G;0/0/1/0/0/0;"1.
Zróbcie Mu miejsce, Pan idzie z nieba
Pod przymiotami ukryty chleba
Zagrody nasze widzieć przychodzi
I jak się Jego dzieciom powodzi
2.
Otocz Go wkoło, rzeszo wybrana
Przed twoim Bogiem zginaj kolana
Pieśń chwały Jego śpiewaj z weselem
On twoim Ojcem, On przyjacielem
3.
Nie dosyć było to dla człowieka
Że na ołtarzu co dzień Go czeka
Sam ludu swego odwiedza ściany
Bo pragnie bawić między ziemiany
4.
Zielem, kwiatami ścielcie Mu drogi
Którędy Pańskie iść będą nogi
I okrzyknijcie na wszystkie strony
Pośród nas idzie błogosławiony"
Zwycięzca śmierci;8;Pieśni na Wielkanoc;1279;F;1/0/1/0/1/0;
